n;b1_a;b1_c;b2_a;b2_c
1009;2321;656;2280;2646;
1010;2292;641;2327;2672;
1011;2312;659;2240;2629;
1012;2292;640;2345;2683;
1013;2337;662;2284;2653;
1014;2282;634;2332;2679;
1015;2262;625;2272;2649;
1016;2296;640;2247;2640;
1017;2284;634;2278;2657;
1018;2252;617;2321;2679;
1019;2305;643;2347;2695;
1020;2282;631;2290;2666;
1021;2331;655;2289;2669;
1022;2360;669;2338;2694;
1023;2321;649;2336;2693;
1024;2350;663;2305;2677;
1025;2275;625;2299;2678;
1026;2274;624;2285;2675;
1027;2287;630;2313;2691;
1028;2348;660;2362;2715;
1029;2305;638;2308;2688;
1030;2312;643;2425;2748;
1031;2347;660;2326;2703;
1032;2354;661;2351;2716;
1033;2363;665;2305;2695;
1034;2285;626;2314;2699;
1035;2384;675;2362;2725;
1036;2328;646;2346;2719;
1037;2349;656;2393;2740;
1038;2373;672;2361;2728;
1039;2366;664;2380;2741;
1040;2348;654;2278;2692;
1041;2441;700;2319;2711;
1042;2370;667;2354;2733;
1043;2373;667;2357;2734;
1044;2370;665;2372;2746;
1045;2341;652;2362;2739;
1046;2394;674;2383;2750;
1047;2321;639;2368;2748;
1048;2444;700;2362;2745;
1049;2425;692;2337;2735;
1050;2432;692;2375;2755;
1051;2376;667;2376;2756;
1052;2373;667;2387;2764;
1053;2413;685;2409;2777;
1054;2326;637;2460;2804;
1055;2397;675;2437;2793;
1056;2402;673;2383;2765;
1057;2364;654;2384;2771;
1058;2398;673;2399;2777;
1059;2464;709;2409;2784;
1060;2459;703;2369;2765;
1061;2400;673;2420;2793;
1062;2457;699;2390;2780;
1063;2444;698;2437;2803;
1064;2431;685;2406;2794;
1065;2435;689;2425;2802;
1066;2435;694;2419;2801;
1067;2411;676;2411;2799;
1068;2381;658;2480;2836;
1069;2450;697;2429;2809;
1070;2447;691;2437;2813;
1071;2383;656;2423;2811;
1072;2463;706;2498;2849;
1073;2422;677;2392;2796;
1074;2426;682;2425;2816;
