Sequence Size,Iterative Time (ms),Recursive Time (ms)
1370,2510,2603
1371,2682,2695
1372,2497,2558
1373,2523,2789
1374,2719,2655
1375,2552,2602
1376,2514,2613
1377,2536,2612
1378,2734,2723
1379,2549,2656
1380,2551,2694
1381,2518,2651
1382,2727,2732
1383,2552,2649
1384,2542,2648
1385,2554,2662
1386,2786,2754
1387,2582,2684
1388,2577,2693
1389,2592,2674
1390,2671,2800
1391,2788,2752
1392,2622,2713
1393,2616,2664
1394,2596,2700
1395,2811,2800
1396,2624,2728
1397,2814,2775
1398,3526,3755
1399,3513,3628
1400,2638,2739
1401,3811,3127
1402,3356,3288
1403,2882,2742
1404,2597,2940
1405,2599,2679
1406,2591,2689
1407,2813,2759
1408,2580,2687
1409,2599,2683
1410,2608,2708
1411,2599,2702
1412,2807,2770
1413,2644,2711
1414,2604,2712
1415,2666,2863
1416,2821,2810
1417,2624,2727
1418,2833,2808
1419,2653,2866
1420,2841,2812
1421,2637,2746
1422,2631,2777
1423,2696,2768
1424,2881,2845
1425,2677,2752
1426,2681,2793
1427,2678,2766
1428,3234,2944
1429,2833,3142
1430,4154,5807
1431,2797,2923
1432,2942,2953
1433,2707,2823
1434,2722,2827
1435,2720,2858
1436,2943,2929
1437,2928,2906
1438,2762,2838
1439,2727,2843
1440,2933,2948
1441,2949,2954
1442,2757,2856
1443,2734,2868
1444,2954,2940
1445,2973,2926
1446,2747,2883
1447,2762,2909
1448,2973,2951
1449,2810,2875
1450,3001,2961
1451,2779,2902
1452,2981,2990
1453,2776,2915
1454,2793,2921
1455,2784,2906
1456,3027,2974
1457,2811,2902
1458,2804,2939
1459,3032,3000
1460,3033,3001
1461,3045,3008
1462,4763,4179
1463,2840,2981
1464,3070,3030
1465,2849,3164
1466,2902,3000
1467,2825,2998
1468,3069,3044
1469,3092,3069
1470,2896,3042
1471,2888,2991
1472,3104,3080
1473,2854,3002
1474,2889,3029
1475,2886,3014
1476,3109,3083
1477,3102,3087
1478,2900,3042
1479,3159,3190
1480,3133,3112
1481,2919,3107
1482,2953,3064
1483,2947,3225
1484,3166,3144
1485,2938,3059
1486,2998,3057
1487,2964,3084
1488,3183,3151
1489,2962,3131
1490,2963,3086
1491,3209,3161
1492,3000,3225
1493,2982,3078
1494,2994,3088
1495,3239,3207
1496,2981,3120
1497,3034,3108
1498,3000,3146
1499,3250,3212
1500,3225,3215
